,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
5439,2020-05-30,Challengers Uprising,Challengers Uprising Season 1 Open Qualifiers 1,Challengers Uprising Season 1 Open Qualifiers 1,,,1
5440,2020-05-30,Esports Amateur Series,EAS 1st Division 2020 Spring Playoffs,EAS 1st Division 2020 Spring Playoffs,,,1
5441,2020-05-30,Esports Amateur Series,EAS 2nd Division 2020 Spring Playoffs,EAS 2nd Division 2020 Spring Playoffs,,,1
5442,2020-05-30,Esports Amateur Series,EAS 3rd Division 2020 Spring Playoffs,EAS 3rd Division 2020 Spring Playoffs,,,1
5443,2020-05-30,Riot Games,Best Role in LatAm Tournament 2020,Best Role in LatAm Tournament 2020,,,1
5444,2020-05-30,Riot Games,Casters vs Champions,,,,1
5445,2020-05-30,Riot Games,CIS All-Star Variety Show 2020,,,,1
5446,2020-05-30,Riot Games,EU Face-Off 2020,EU Face-Off 2020,,,1
5447,2020-05-30,Riot Games,JP Exhibition Tournament 2020,JP Exhibition Tournament 2020,,,1
5448,2020-05-30,Riot Games,Mastercard Legends Showdown: Team Kami x Team YoDa,,,,1
5449,2020-05-30,Volcano League,VDL 2020 Closing,VDL 2020 Closing,,,1
5450,2020-05-30,Volcano League,VDL 2020 Closing Season T1,,,,1
5451,2020-05-31,Hitpoint Masters,Hitpoint Masters Season 14 Open Qualifier 2,Hitpoint Masters Season 14 Open Qualifier 2,,,1
5452,2020-05-31,Riot Games,NA Pro Exhibition Matches 2020,,,,1
5453,2020-05-31,Risen Champions League,RCL Season 9,RCL Season 9,,,1
5454,2020-06-01,Belgian League,Belgian League 2020 Summer,Belgian League 2020 Summer,Summer,2,1
5455,2020-06-01,Freedom NextGen Cup,Freedom NextGen Cup,Freedom NextGen Cup,,,1
5456,2020-06-01,Greek Legends League,GLL 2020 Summer,GLL 2020 Summer,Summer,3,1
5457,2020-06-01,Liga de Honor Entel,LHE 2020 Closing,LHE 2020 Closing,,,1
5458,2020-06-01,Ligue PCS 2018-2019,Ligue PCS 5,,,,1
5459,2020-06-01,Prime League 1st Division,PRM 1st Division 2020 Summer,PRM 1st Division 2020 Summer,Summer,2,1
5460,2020-06-02,Dutch League,Dutch League 2020 Summer,Dutch League 2020 Summer,Summer,2,1
5461,2020-06-02,Hitpoint Masters,Hitpoint Masters Season 14 Open Qualifier 3,Hitpoint Masters Season 14 Open Qualifier 3,,,1
5462,2020-06-03,Focus Championship Series,FCS Season 4,FCS Season 4,,,1
5463,2020-06-04,Guardians League,GUL 2020 Closing,GUL 2020 Closing,,,1
5464,2020-06-04,Hitpoint Masters,Hitpoint Masters Season 14 Last Chance Qualifier,Hitpoint Masters Season 14 Last Chance Qualifier,,,1
5465,2020-06-04,Liga Master Flow,LMF 2020 Closing,LMF 2020 Closing,,,1
5466,2020-06-04,UK League Championship,UKLC 2020 Summer Open Qualifier,UKLC 2020 Summer Open Qualifier,Summer,,1
5467,2020-06-05,Bloody Invitational Gaming League,BIG League Season 3 Playoffs,BIG League Season 3 Playoffs,,,1
