,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
125,ASP Esports,Silvas,LPLOL/2018 Season/Open Split,LPLOL/2018 Season/Open Split_ASP Esports,3,1,Mid,1
126,ASP Esports,Waffeletten,LPLOL/2018 Season/Open Split,LPLOL/2018 Season/Open Split_ASP Esports,5,1,Support,1
127,ASP Esports,Zel9Dentro,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,4,1,Mid,1
128,Aurum Gaming,Batista,LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,5,1,Support,1
129,Aurum Gaming,DIGA,LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,3,1,Mid,1
130,Aurum Gaming,JAMIX,LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,1,1,Top,1
131,Aurum Gaming,Sykee,LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,4,1,Bot,1
132,Aurum Gaming,ThomasHG,LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,2,1,Jungle,1
133,Aurum Gaming,Tony (Portuguese Player),LPLOL/2022 Season/Pro-Am,LPLOL/2022 Season/Pro-Am_Aurum Gaming,6,1,Coach,1
134,AZORES Gap,BMCB,LPLOL/2020 Season/Spring Cup/Qualifier,LPLOL/2020 Season/Spring Cup/Qualifier_AZORES Gap,1,1,Top,1
135,AZORES Gap,Daiblo,LPLOL/2020 Season/Spring Cup/Qualifier,LPLOL/2020 Season/Spring Cup/Qualifier_AZORES Gap,2,1,Jungle,1
136,AZORES Gap,GOOO INN GO IN,LPLOL/2020 Season/Spring Cup/Qualifier,LPLOL/2020 Season/Spring Cup/Qualifier_AZORES Gap,5,1,Support,1
137,AZORES Gap,Lostboy,LPLOL/2020 Season/Spring Cup/Qualifier,LPLOL/2020 Season/Spring Cup/Qualifier_AZORES Gap,4,1,Bot,1
138,AZORES Gap,O MITO DA ANIVIA,LPLOL/2020 Season/Spring Cup/Qualifier,LPLOL/2020 Season/Spring Cup/Qualifier_AZORES Gap,3,1,Mid,1
139,BaeconGG,Croka,LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,4,1,Bot,1
140,BaeconGG,Croka,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,6,1,Bot,1
141,BaeconGG,Croka,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,5,1,Bot,1
142,BaeconGG,Furyy,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,3,1,Jungle,1
143,BaeconGG,Gaio,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,6,1,Coach,1
144,BaeconGG,Garcia,LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,3,1,Mid,1
145,BaeconGG,Garcia,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,5,1,Mid,1
146,BaeconGG,Garcia,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,4,1,Mid,1
147,BaeconGG,Gugaz,LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,1,1,Top,1
148,BaeconGG,Gugaz,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,1,1,"Top,Support",1
149,BaeconGG,Gugaz,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,2,1,Top,1
150,BaeconGG,Infinity (Christian Jose),LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,2,1,Jungle,1
151,BaeconGG,Infinity (Christian Jose),LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,4,1,Jungle,1
152,BaeconGG,Infinity (Christian Jose),LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,3,1,Jungle,1
153,BaeconGG,Jonhy,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,4,1,Bot,1
154,BaeconGG,Kamyta,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,5,1,Support,1
155,BaeconGG,Mafra,LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,5,1,Support,1
156,BaeconGG,Mafra,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,7,1,Support,1
157,BaeconGG,Mafra,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,6,1,Support,1
158,BaeconGG,Muka,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_BaeconGG,2,1,Top,1
159,BaeconGG,Muka,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_BaeconGG,1,1,Top,1
160,BaeconGG,rnz,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,2,1,Jungle,1
161,BaeconGG,Sekkonds,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,3,1,Mid,1
162,BaeconGG,X2 Zero,LPLOL/2019 Season/2nd Division/Summer Playoffs,LPLOL/2019 Season/2nd Division/Summer Playoffs_BaeconGG,6,1,Coach,1
163,BaeconGG,Zeni,LPLOL/2021 Season/Summer Relegations,LPLOL/2021 Season/Summer Relegations_BaeconGG,1,1,Top,1
164,Bagulhão Gaming,Bimdi,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_Bagulhão Gaming,3,1,Mid,1
165,Bagulhão Gaming,Kamyta,LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_Bagulhão Gaming,5,1,Support,1
166,Bagulhão Gaming,Lasagna (Bagulhão),LPLOL/2019 Season/Open Split,LPLOL/2019 Season/Open Split_Bagulhão Gaming,2,1,Jungle,1
